id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401117853,2019,1,regular,2019-08-29T23:30:00.000Z,False,False,False,44073.0,3652,Bright House Networks Stadium,2116,UCF,American Athletic,fbs,62.0,"[17, 31, 7, 7]",0.9999957343184567,,,50,Florida A&M,MEAC,fcs,0.0,"[0, 0, 0, 0]",0.000004265681543325073,,,0.0275892598999993,https://www.youtube.com/watch?v=JMjct2NYZSc,
401128709,2019,1,regular,2019-08-30T00:00:00.000Z,False,False,False,,3882,Provost Umphrey Stadium,2320,Lamar,Southland,fcs,65.0,"[14, 27, 17, 7]",,,,2064,Bethel (TN),,,16.0,"[3, 10, 0, 3]",,,,,,
401127029,2019,1,regular,2019-08-30T00:00:00.000Z,False,False,False,,4133,Braly Municipal Stadium,2453,North Alabama,Big South,fcs,26.0,"[6, 13, 7, 0]",,,,2710,Western Illinois,MVFC,fcs,17.0,"[0, 14, 3, 0]",,,,,,
401127240,2019,1,regular,2019-08-30T00:00:00.000Z,False,False,False,,3742,Governors Stadium,2046,Austin Peay,OVC,fcs,41.0,"[7, 24, 3, 7]",,,,2428,North Carolina Central,MEAC,fcs,10.0,"[3, 0, 0, 7]",,,,,,
401128362,2019,1,regular,2019-08-30T00:00:00.000Z,False,False,False,,3944,Strawberry Stadium,2545,Southeastern Louisiana,Southland,fcs,35.0,"[14, 7, 7, 7]",,,,55,Jacksonville State,OVC,fcs,14.0,"[0, 7, 0, 7]",,,,,,
401114237,2019,1,regular,2019-08-30T00:00:00.000Z,False,False,False,39165.0,3803,Legion Field,5,UAB,Conference USA,fbs,24.0,"[14, 10, 0, 0]",0.808822993632232,,,2011,Alabama State,SWAC,fcs,19.0,"[13, 0, 6, 0]",0.19117700636776802,,,1.8230200516,https://www.youtube.com/watch?v=euB43slXeBY,
401111653,2019,1,regular,2019-08-30T00:00:00.000Z,,False,True,79118.0,3836,Memorial Stadium,228,Clemson,ACC,fbs,52.0,"[14, 14, 14, 10]",0.999975851296617,2092.0,2136.0,59,Georgia Tech,ACC,fbs,14.0,"[0, 0, 7, 7]",0.000024148703382964598,1571.0,1527.0,0.121090201699999,https://www.youtube.com/watch?v=c7Ih452df30,
401114236,2019,1,regular,2019-08-30T00:00:00.000Z,,False,False,16361.0,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,fbs,42.0,"[7, 21, 14, 0]",0.9996684962055076,1451.0,1527.0,2229,Florida International,Conference USA,fbs,14.0,"[0, 7, 7, 0]",0.00033150379449242706,1471.0,1395.0,1.52850182699999,https://www.youtube.com/watch?v=VIvyR9Zwhfk,
401110731,2019,1,regular,2019-08-30T00:30:00.000Z,,False,False,98016.0,3795,Kyle Field,245,Texas A&M,SEC,fbs,41.0,"[14, 14, 3, 10]",0.999331374188528,1739.0,1771.0,326,Texas State,Sun Belt,fbs,7.0,"[0, 0, 0, 7]",0.000668625811471979,1217.0,1185.0,0.220119628399999,https://www.youtube.com/watch?v=b-rp1D8Q-j0,
401119253,2019,1,regular,2019-08-30T00:50:00.000Z,False,False,False,12207.0,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,38.0,"[7, 17, 7, 7]",0.9996297842854641,,,399,Albany,CAA,fcs,21.0,"[0, 7, 7, 7]",0.000370215714535882,,,1.94634025459999,https://www.youtube.com/watch?v=BXYJc8LTxAk,
401126954,2019,1,regular,2019-08-30T01:00:00.000Z,False,False,False,,2023,Walkup Skydome,2464,Northern Arizona,Big Sky,fcs,37.0,"[3, 17, 14, 3]",,,,2623,Missouri State,MVFC,fcs,23.0,"[3, 3, 10, 7]",,,,,,
401112229,2019,1,regular,2019-08-30T01:00:00.000Z,False,False,False,49112.0,3953,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,28.0,"[0, 13, 7, 8]",0.7079013302374422,,,2571,South Dakota State,MVFC,fcs,21.0,"[0, 7, 14, 0]",0.2920986697625578,,,4.590705268,https://www.youtube.com/watch?v=sS3pH7mygOE,
401117493,2019,1,regular,2019-08-30T02:00:00.000Z,False,False,False,13480.0,3935,Spartan Stadium,23,San José State,Mountain West,fbs,35.0,"[14, 7, 7, 7]",0.9989727349896149,,,2458,Northern Colorado,Big Sky,fcs,18.0,"[3, 3, 9, 3]",0.0010272650103850811,,,1.80118927999999,,
401114153,2019,1,regular,2019-08-30T02:00:00.000Z,,False,False,47413.0,3947,Sun Devil Stadium,9,Arizona State,Pac-12,fbs,30.0,"[10, 0, 17, 3]",0.9986764468501403,1597.0,1610.0,2309,Kent State,Mid-American,fbs,7.0,"[0, 0, 0, 7]",0.0013235531498596576,1165.0,1152.0,0.8053215533,https://www.youtube.com/watch?v=QEzWhRSQr94,
401114223,2019,1,regular,2019-08-30T02:15:00.000Z,,False,False,61626.0,3801,LaVell Edwards Stadium,252,BYU,FBS Independents,fbs,12.0,"[0, 6, 0, 6]",0.004515069464778168,1553.0,1520.0,254,Utah,Pac-12,fbs,30.0,"[3, 6, 7, 14]",0.9954849305352218,1657.0,1690.0,3.2934990524,https://www.youtube.com/watch?v=II3mkORMyGM,
401127040,2019,1,regular,2019-08-30T22:00:00.000Z,False,False,False,,3607,Alfond Stadium,311,Maine,CAA,fcs,42.0,"[21, 21, 0, 0]",,,,2529,Sacred Heart,NEC,fcs,14.0,"[7, 0, 0, 7]",,,,,,
401114238,2019,1,regular,2019-08-30T22:00:00.000Z,,False,False,23238.0,3841,Blaik Field at Michie Stadium,349,Army,FBS Independents,fbs,14.0,"[0, 7, 0, 7]",0.9977163776799017,1745.0,1727.0,242,Rice,Conference USA,fbs,7.0,"[0, 7, 0, 0]",0.0022836223200982664,1185.0,1203.0,3.5848448091,https://www.youtube.com/watch?v=kZEGnkMiT3c,
401112212,2019,1,regular,2019-08-30T23:00:00.000Z,,False,False,72005.0,3936,Spartan Stadium,127,Michigan State,Big Ten,fbs,28.0,"[7, 18, 3, 0]",0.9838631812471603,1615.0,1641.0,202,Tulsa,American Athletic,fbs,7.0,"[0, 7, 0, 0]",0.016136818752839677,1379.0,1353.0,0.6125123066,https://www.youtube.com/watch?v=MF3k-m5a-1U,
401112264,2019,1,regular,2019-08-30T23:15:00.000Z,,False,False,40515.0,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,fbs,48.0,"[7, 31, 3, 7]",0.9977830079662634,1265.0,1334.0,113,UMass,FBS Independents,fbs,21.0,"[21, 0, 0, 0]",0.002216992033736598,1261.0,1192.0,3.34314662149999,https://www.youtube.com/watch?v=aAvPwRBg2eg,
401117856,2019,1,regular,2019-08-30T23:55:00.000Z,,False,False,46704.0,3886,Raymond James Stadium,58,South Florida,American Athletic,fbs,0.0,"[0, 0, 0, 0]",0.0034345805398384114,1423.0,1307.0,275,Wisconsin,Big Ten,fbs,49.0,"[7, 21, 14, 7]",0.9965654194601616,1676.0,1792.0,1.4561181358,https://www.youtube.com/watch?v=Ufn9cqb7Mes,
401112430,2019,1,regular,2019-08-31T00:00:00.000Z,,False,False,29027.0,3630,BB&T Field,154,Wake Forest,ACC,fbs,38.0,"[10, 7, 14, 7]",0.8952229284457609,1579.0,1582.0,328,Utah State,Mountain West,fbs,35.0,"[7, 14, 7, 7]",0.1047770715542391,1731.0,1728.0,10.4697882233999,https://www.youtube.com/watch?v=ds1IiI9JHro,
401112262,2019,1,regular,2019-08-31T01:30:00.000Z,,False,False,20144.0,3816,Mackay Stadium,2440,Nevada,Mountain West,fbs,34.0,"[0, 7, 10, 17]",0.8259196212435224,1462.0,1464.0,2509,Purdue,Big Ten,fbs,31.0,"[10, 14, 7, 0]",0.17408037875647764,1507.0,1505.0,5.3196804281,https://www.youtube.com/watch?v=qShnihr1-Ww,
401114184,2019,1,regular,2019-08-31T02:00:00.000Z,,True,False,66997.0,3937,Sports Authority Field at Mile High,38,Colorado,Pac-12,fbs,52.0,"[7, 17, 14, 14]",0.9984330562223831,1449.0,1492.0,36,Colorado State,Mountain West,fbs,31.0,"[7, 14, 3, 7]",0.0015669437776169026,1307.0,1264.0,3.83712017819999,https://www.youtube.com/watch?v=Df6TPyUJTSc,
401112122,2019,1,regular,2019-08-31T02:30:00.000Z,,False,False,31681.0,3893,Reser Stadium,204,Oregon State,Pac-12,fbs,36.0,"[10, 6, 7, 13]",0.030836745674682583,1207.0,1210.0,197,Oklahoma State,Big 12,fbs,52.0,"[7, 24, 14, 7]",0.9691632543253175,1637.0,1634.0,2.5128900036,https://www.youtube.com/watch?v=dd69_p7NtzI,
401112201,2019,1,regular,2019-08-31T16:00:00.000Z,False,False,False,32761.0,3665,Maryland Stadium,120,Maryland,Big Ten,fbs,79.0,"[28, 28, 16, 7]",0.9999966893158879,,,47,Howard,MEAC,fcs,0.0,"[0, 0, 0, 0]",0.00000331068411207891,,,0.192947083,https://www.youtube.com/watch?v=Zl67Acvjf5A,
401112085,2019,1,regular,2019-08-31T16:00:00.000Z,False,False,False,61500.0,3772,Jack Trice Stadium,66,Iowa State,Big 12,fbs,29.0,"[3, 0, 7, 3, 3, 7, 6]",0.9864726192654548,,,2460,Northern Iowa,MVFC,fcs,26.0,"[0, 0, 13, 0, 3, 7, 3]",0.01352738073454518,,,8.31073115079999,https://www.youtube.com/watch?v=MIk1mFZ5Wy4,
401110727,2019,1,regular,2019-08-31T16:00:00.000Z,,True,False,22440.0,3493,Mercedes-Benz Superdome,309,Louisiana,Sun Belt,fbs,28.0,"[7, 7, 0, 14]",0.11387671428409141,1361.0,1378.0,344,Mississippi State,SEC,fbs,38.0,"[7, 14, 7, 10]",0.8861232857159086,1791.0,1774.0,2.5642354762,https://www.youtube.com/watch?v=XMQ8ntuDosA,
401112096,2019,1,regular,2019-08-31T16:00:00.000Z,False,False,False,32611.0,3833,Memorial Stadium,2305,Kansas,Big 12,fbs,24.0,"[7, 3, 6, 8]",0.9960275082819783,,,282,Indiana State,MVFC,fcs,17.0,"[0, 3, 0, 14]",0.00397249171802172,,,5.21125589319999,https://www.youtube.com/watch?v=Vp6VHgO0tJs,
401112145,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,30654.0,3832,Memorial Stadium,356,Illinois,Big Ten,fbs,42.0,"[14, 14, 14, 0]",0.999985624546836,1263.0,1376.0,2006,Akron,Mid-American,fbs,3.0,"[3, 0, 0, 0]",0.000014375453163961716,1261.0,1148.0,0.5276152521,https://www.youtube.com/watch?v=Kl7PArb7sNs,
401112157,2019,1,regular,2019-08-31T16:00:00.000Z,,True,False,21437.0,3812,Lucas Oil Stadium,2050,Ball State,Mid-American,fbs,24.0,"[3, 7, 7, 7]",0.052332403827212784,1195.0,1204.0,84,Indiana,Big Ten,fbs,34.0,"[10, 6, 7, 11]",0.9476675961727872,1509.0,1500.0,3.5717794139,,
401112238,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,89502.0,3834,Memorial Stadium,158,Nebraska,Big Ten,fbs,35.0,"[7, 7, 14, 7]",0.9037885855802149,1475.0,1478.0,6,South Alabama,Sun Belt,fbs,21.0,"[7, 0, 14, 0]",0.09621141441978509,1168.0,1165.0,0.772485991899999,https://www.youtube.com/watch?v=LnhY4vAXjiI,
401112251,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,103228.0,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,45.0,"[28, 0, 7, 10]",0.9992489626414983,1847.0,1872.0,2226,Florida Atlantic,Conference USA,fbs,21.0,"[0, 3, 3, 15]",0.0007510373585016827,1520.0,1495.0,0.1900220523,https://www.youtube.com/watch?v=LXmySwb5080,
